Timestamp,"I declare that I have read, understood, and wish to participate in the survey conducted by the ISCB Regional Student Group - Brazil.",Race/Color?,Which of the following terms do you think best describes your gender?,In which state of Brazil do you currently work/study/live?,What is your academic level?,"According to your experience, which of the options best describes you?","Among these options, which one best describes your professional profile?","Among these options, which one best describes your professional profile?","If others, which one?","Among these options, which one best describes your professional profile?","Taking into account your needs, which aspects of Bioinformatics would you most like to see in a course? [Biology knowledge]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Statistical methods and Data Science]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Computational and programming skills]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Ethical implications and societal repercussions of Bioinformatics]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Applications of Bioinformatics]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Communication in Bioinformatics]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Continuing Development in Bioinformatics]","Among the topics below, which one(s) would you like to deepen your knowledge and develop skills in Bioinformatics?","Considering your experience in the field, at what level of learning would you like to receive courses and training offered in Computational Biology?"
06/11/2023 16:32:36,Yes,I am white,Woman / Female (Cisgender),Santa Catarina (SC),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,7,7,7,4,7,5,4," Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Advanced
06/11/2023 16:35:52,Yes,I am brown-skinned,Man / Male (Cisgender),São Paulo (SP),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,5,7,5,7,7,7,6,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 16:37:11,Yes,I am brown-skinned,Woman / Female (Cisgender),Pará (PA),PhD / PhD Student,User,Academic,,,,3,3,3,2,2,2,3,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Database and Software Development",Advanced
06/11/2023 16:37:26,Yes,I am white,Man / Male (Cisgender),Santa Catarina (SC),Bachelor / Undergraduate Student,User,Academic,,,,4,7,7,3,7,3,4,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome,  Artificial Intelligence and Data Science in Bioinformatics",Advanced
06/11/2023 16:41:40,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Posdoc,User,Academic,,,,7,7,7,7,7,7,7,"DNA and Genomics, Phylogeny and Evolution, Epigenomics, Proteins and Proteomics, Molecular Basis of Cancer,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 16:43:18,Yes,I am brown-skinned,Man / Male (Cisgender),Rio de Janeiro (RJ),Posdoc,User,Clinical Analysis,,,,7,7,7,6,7,6,7,"RNA and Transcriptomics, Epigenomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer","Basic, Intermediate, Advanced"
06/11/2023 16:43:23,Yes,I am white,Woman / Female (Cisgender),Minas Gerais (MG),PhD / PhD Student,User,Academic,,,,3,1,1,1,2,1,1,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome",Basic
06/11/2023 16:45:14,Yes,I am black,Woman / Female (Cisgender),Rio de Janeiro (RJ),Master / Master Student,Scientist,,Academic in the field of computational biology and related areas,,,7,7,7,3,5,4,2,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, Proteins and Proteomics, Database and Software Development,Career Mentoring in Bioinformatics","Basic, Intermediate, Advanced"
06/11/2023 16:53:32,Yes,I am brown-skinned,Man / Male (Cisgender),Pará (PA),Master / Master Student,User,Academic,,,,7,7,7,6,7,7,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology, Molecular Basis of Cancer, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling","Basic, Intermediate, Advanced"
06/11/2023 17:09:31,Yes,I am white,Man / Male (Cisgender),Rio Grande do Sul (RS),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,3,7,7,3,3,4,4,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics,  Structural Biology and Modeling",Intermediate
06/11/2023 17:14:28,Yes,I am brown-skinned,Woman / Female (Cisgender),Espírito Santo (ES),PhD / PhD Student,User,Academic,,,,1,3,3,2,3,3,3,"Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer,  Structural Biology and Modeling","Basic, Intermediate"
06/11/2023 17:18:03,Yes,I am brown-skinned,Woman / Female (Cisgender),Santa Catarina (SC),Bachelor / Undergraduate Student,Scientist,,Academic in the field of computational biology and related areas,,,5,6,6,7,7,7,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics","Basic, Intermediate, Advanced"
06/11/2023 17:29:31,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Master / Master Student,Scientist,,Academic in the field of computational biology and related areas,,,3,6,5,4,6,3,5,"DNA and Genomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 17:34:27,Yes,I am brown-skinned,Woman / Female (Cisgender),Pernambuco (PE),Master / Master Student,User,Academic,,,,4,7,7,4,5,6,6,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Basic
06/11/2023 17:36:25,Yes,I am white,Woman / Female (Cisgender),Rio Grande do Sul (RS),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,5,4,5,5,5,5,5,"Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 17:44:28,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),PhD / PhD Student,User,Academic,,,,7,6,1,6,1,1,1,Metagenomics and Microbiome,Basic
06/11/2023 17:52:36,Yes,I am brown-skinned,Man / Male (Cisgender),Rio Grande do Sul (RS),Master / Master Student,User,Academic,,,,5,7,7,4,6,4,6,"DNA and Genomics, RNA and Transcriptomics, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine",Basic
06/11/2023 18:08:47,Yes,I am white,Man / Male (Cisgender),Minas Gerais (MG),Bachelor / Undergraduate Student,User,Especialista em ética,,,,4,7,7,4,7,4,6,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine,  Structural Biology and Modeling",Basic
06/11/2023 18:12:51,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,Scientist,,"
Biomedical informatician",,,6,6,7,5,5,5,6,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 18:16:46,Yes,I am white,Man / Male (Cisgender),Rio de Janeiro (RJ),Master / Master Student,Scientist,,Academic in the field of computational biology and related areas,,,5,6,4,3,1,1,2,"Proteins and Proteomics,  Structural Biology and Modeling",Advanced
06/11/2023 18:18:16,Yes,I am brown-skinned,Man / Male (Cisgender),Pará (PA),Bachelor / Undergraduate Student,Scientist,,Academic in the field of computational biology and related areas,,,7,7,7,5,6,5,6,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine,  Structural Biology and Modeling,Career Mentoring in Bioinformatics","Basic, Intermediate, Advanced"
06/11/2023 18:18:17,Yes,I am white,Man / Male (Cisgender),Rio de Janeiro (RJ),Master / Master Student,Scientist,,Academic in the field of computational biology and related areas,,,4,4,4,2,3,3,4,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics,  Structural Biology and Modeling","Basic, Intermediate, Advanced"
06/11/2023 18:31:50,Yes,I am white,Man / Male (Cisgender),Resido fora do Brasil,Posdoc,User,Academic,,,,4,5,5,7,5,5,7,"Phylogeny and Evolution, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,  Structural Biology and Modeling","Intermediate, Advanced"
06/11/2023 18:48:33,Yes,I am white,Woman / Female (Cisgender),Paraná (PR),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,6,7,6,5,3,3,4,"DNA and Genomics, Phylogeny and Evolution, RNA and Transcriptomics, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics",Intermediate
06/11/2023 18:52:31,Yes,I am white,Woman / Female (Cisgender),Rio Grande do Sul (RS),PhD / PhD Student,User,Academic,,,,1,7,6,1,6,5,5," Artificial Intelligence and Data Science in Bioinformatics,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 19:01:31,Yes,I am white,Man / Male (Cisgender),Minas Gerais (MG),PhD / PhD Student,User,Academic,,,,1,7,7,6,7,7,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 19:02:03,Yes,I am brown-skinned,Man / Male (Cisgender),São Paulo (SP),Posdoc,User,Academic,,,,2,7,7,2,4,7,7,"RNA and Transcriptomics, Proteins and Proteomics",Basic
06/11/2023 19:02:12,Yes,I am brown-skinned,Man / Male (Cisgender),Rio Grande do Sul (RS),Bachelor / Undergraduate Student,Scientist,,Academic in the field of computational biology and related areas,,,6,7,7,7,7,7,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 19:04:32,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,Developer,,,,Bioinformatics software developer/engineer,5,7,7,2,7,7,7,"DNA and Genomics, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development",Advanced
06/11/2023 19:09:37,Yes,I am white,Man / Male (Cisgender),Rondônia (RO),Bachelor / Undergraduate Student,User,Clinical Analysis,,,,7,7,2,3,6,6,6,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer,  Structural Biology and Modeling","Basic, Intermediate, Advanced"
06/11/2023 19:22:23,Yes,I am white,Woman / Female (Cisgender),Rio Grande do Sul (RS),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,2,7,7,2,2,2,7,"RNA and Transcriptomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,Career Mentoring in Bioinformatics",Advanced
06/11/2023 19:27:40,Yes,I am white,Man / Male (Cisgender),Paraná (PR),PhD / PhD Student,Scientist,,Computer scientist,,,5,7,5,6,7,4,4,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics,  Structural Biology and Modeling","Basic, Intermediate, Advanced"
06/11/2023 19:36:02,Yes,I am brown-skinned,Man / Male (Cisgender),São Paulo (SP),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,1,5,5,2,7,5,5,"Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics,  Structural Biology and Modeling","Intermediate, Advanced"
06/11/2023 19:41:21,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,6,7,7,7,7,7,7,"DNA and Genomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 19:45:01,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,User,Academic,,,,7,4,7,2,7,6,6,"DNA and Genomics, RNA and Transcriptomics, Proteins and Proteomics","Basic, Intermediate"
06/11/2023 19:47:48,Yes,I am white,Man / Male (Cisgender),Santa Catarina (SC),PhD / PhD Student,Developer,,,,Bioinformatics software developer/engineer,6,7,5,5,7,7,7,"RNA and Transcriptomics, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics","Intermediate, Advanced"
06/11/2023 19:51:06,Yes,I am black,Woman / Female (Cisgender),Ceará (CE),Bachelor / Undergraduate Student,User,Clinical Analysis,,,,3,3,3,2,3,3,3,"DNA and Genomics, Metagenomics and Microbiome, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics,  Structural Biology and Modeling","Basic, Intermediate, Advanced"
06/11/2023 19:54:42,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,Scientist,,Academic in the field of computational biology and related areas,,,1,2,3,3,3,3,3,"RNA and Transcriptomics, Proteins and Proteomics, Metabolomics and Systems Biology, Database and Software Development,  Structural Biology and Modeling",Basic
06/11/2023 20:07:22,Yes,I am white,Woman / Female (Cisgender),Pernambuco (PE),Posdoc,User,Academic,,,,1,7,6,5,6,6,7,"Metagenomics and Microbiome,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development",Intermediate
06/11/2023 20:10:43,Yes,I am white,Woman / Female (Cisgender),Pará (PA),Bachelor / Undergraduate Student,Scientist,,Academic in the field of computational biology and related areas,,,3,3,3,2,3,3,3,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine,  Structural Biology and Modeling,Career Mentoring in Bioinformatics","Basic, Intermediate"
06/11/2023 20:38:10,Yes,I am brown-skinned,Man / Male (Cisgender),São Paulo (SP),Master / Master Student,User,Academic,,,,4,6,6,6,7,7,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 21:11:47,Yes,I am brown-skinned,Woman / Female (Cisgender),Pará (PA),Master / Master Student,User,Academic,,,,7,7,7,7,7,7,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Structural Biology and Modeling",Intermediate
06/11/2023 21:39:17,Yes,I am white,Woman / Female (Cisgender),Rio Grande do Sul (RS),PhD / PhD Student,User,Academic,,,,7,7,7,5,7,7,6,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Proteins and Proteomics, Metabolomics and Systems Biology, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine, Didactics and Communication in Bioinformatics",Advanced
06/11/2023 21:54:46,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Master / Master Student,Developer,,,,Bioinformatics software developer/engineer,3,7,5,4,7,4,6,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine, Didactics and Communication in Bioinformatics","Intermediate, Advanced"
06/11/2023 22:20:09,Yes,I am white,Woman / Female (Cisgender),Rio Grande do Sul (RS),Posdoc,User,Academic,,,,3,3,3,1,2,2,2,"DNA and Genomics, Metagenomics and Microbiome, Epigenomics,  Structural Biology and Modeling",Advanced
06/11/2023 22:58:17,Yes,I am brown-skinned,Man / Male (Cisgender),Pará (PA),PhD / PhD Student,Scientist,,Educator in computational biology and related fields.,,,7,7,7,4,5,4,4,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer,  Structural Biology and Modeling",Advanced
06/11/2023 23:29:24,Yes,I am black,Woman / Female (Cisgender),Rio Grande do Sul (RS),PhD / PhD Student,User,Academic,,,,7,7,7,7,7,7,7,"DNA and Genomics, Phylogeny and Evolution, RNA and Transcriptomics, Epigenomics, Database and Software Development, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 23:53:17,Yes,I am white,Man / Male (Cisgender),Rio Grande do Norte (RN),PhD / PhD Student,Developer,,,,Bioinformatics software developer/engineer,5,7,5,5,5,2,7,"Phylogeny and Evolution, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics",Advanced
07/11/2023 00:01:35,Yes,I am white,Woman / Female (Cisgender),Rio Grande do Sul (RS),Posdoc,Scientist,,Academic in the field of computational biology and related areas,,,7,7,6,6,7,6,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Database and Software Development",Advanced
07/11/2023 03:35:35,Yes,I am brown-skinned,Woman / Female (Cisgender),Resido fora do Brasil,Master / Master Student,Scientist,,Educator in computational biology and related fields.,,,3,6,6,3,2,7,6,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development",Intermediate
07/11/2023 04:34:05,Yes,I am brown-skinned,Woman / Female (Cisgender),Rio Grande do Sul (RS),PhD / PhD Student,User,Academic,,,,4,5,6,4,3,4,6,"DNA and Genomics, Phylogeny and Evolution,Career Mentoring in Bioinformatics",Advanced
07/11/2023 06:00:38,Yes,I am white,Man / Male (Cisgender),Espírito Santo (ES),PhD / PhD Student,User,Academic,,,,6,6,7,6,7,7,7,"DNA and Genomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development",Basic
07/11/2023 06:05:09,Yes,I am white,Man / Male (Cisgender),Resido fora do Brasil,PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,7,7,1,4,4,7,7," Artificial Intelligence and Data Science in Bioinformatics, Didactics and Communication in Bioinformatics",Advanced
07/11/2023 08:03:12,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,Developer,,,,Bioinformatics software developer/engineer,3,5,7,4,6,5,7,"DNA and Genomics, Metagenomics and Microbiome, Epigenomics, Database and Software Development, Personalized Medicine",Advanced
07/11/2023 08:45:14,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,User,Academic,,,,6,7,5,4,5,6,6,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Didactics and Communication in Bioinformatics","Basic, Intermediate, Advanced"
07/11/2023 09:00:42,Yes,I am white,Woman / Female (Cisgender),Rio de Janeiro (RJ),Master / Master Student,User,Academic,,,,1,3,3,2,2,2,2,"Phylogeny and Evolution, Metagenomics and Microbiome,  Artificial Intelligence and Data Science in Bioinformatics",Basic
07/11/2023 09:12:13,Yes,I am white,Man / Male (Cisgender),Resido fora do Brasil,PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,3,7,7,3,7,5,7," Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Advanced
07/11/2023 09:25:31,Yes,I am white,Man / Male (Cisgender),Paraná (PR),PhD / PhD Student,User,Academic,,,,3,5,7,3,7,6,7,"RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,  Structural Biology and Modeling",Basic
07/11/2023 09:32:09,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,Developer,,,,Bioinformatics software developer/engineer,4,7,3,2,5,1,5,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine,Career Mentoring in Bioinformatics","Intermediate, Advanced"
07/11/2023 10:28:46,Yes,I am white,Woman / Female (Cisgender),Paraná (PR),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,6,7,7,7,7,7,7,"DNA and Genomics, Phylogeny and Evolution,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development","Basic, Intermediate, Advanced"
07/11/2023 11:01:01,Yes,I am white,Man / Male (Cisgender),Minas Gerais (MG),Posdoc,User,Academic,,,,2,4,5,2,3,2,6," Artificial Intelligence and Data Science in Bioinformatics,  Structural Biology and Modeling","Intermediate, Advanced"
07/11/2023 11:02:47,Yes,I am brown-skinned,Man / Male (Cisgender),Santa Catarina (SC),Master / Master Student,User,Academic,,,,6,6,6,6,6,6,6,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer,Career Mentoring in Bioinformatics","Basic, Intermediate, Advanced"
07/11/2023 11:07:41,Yes,I am white,Woman / Female (Cisgender),Santa Catarina (SC),Posdoc,Scientist,,Core facility scientist,,,1,7,5,4,3,4,6,"Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine",Advanced
07/11/2023 11:14:51,Yes,I am white,Man / Male (Cisgender),Santa Catarina (SC),PhD / PhD Student,User,Academic,,,,3,3,1,2,3,2,2,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics","Basic, Intermediate"
07/11/2023 11:29:58,Yes,I am white,Woman / Female (Cisgender),Goiás (GO),PhD / PhD Student,User,Academic,,,,7,7,5,3,5,3,3,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine,  Structural Biology and Modeling",Basic
07/11/2023 13:14:47,Yes,I am white,Man / Male (Cisgender),Resido fora do Brasil,Master / Master Student,User,Clinical Analysis,,,,2,5,7,5,7,5,7,"DNA and Genomics, Personalized Medicine",Intermediate
07/11/2023 14:05:22,Yes,I am white,Woman / Female (Cisgender),Paraná (PR),Master / Master Student,User,Clinical Analysis,,,,2,3,3,3,3,3,3,"DNA and Genomics, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Didactics and Communication in Bioinformatics","Basic, Intermediate, Advanced"
07/11/2023 14:05:57,Yes,I am white,Woman / Female (Cisgender),Paraná (PR),PhD / PhD Student,User,Academic,,,,2,7,7,6,4,4,5,"DNA and Genomics, RNA and Transcriptomics, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine","Basic, Intermediate"
07/11/2023 14:16:57,Yes,I am white,Woman / Female (Cisgender),Paraná (PR),Posdoc,Scientist,,Academic in the field of computational biology and related areas,,,3,5,7,2,2,2,7,"DNA and Genomics, Phylogeny and Evolution, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine,  Structural Biology and Modeling","Intermediate, Advanced"
07/11/2023 16:21:32,Yes,I am white,Woman / Female (Cisgender),Minas Gerais (MG),PhD / PhD Student,User,Academic,,,,7,7,7,1,3,2,7,"DNA and Genomics, Phylogeny and Evolution, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development",Intermediate
07/11/2023 17:50:00,Yes,I am brown-skinned,Man / Male (Cisgender),Minas Gerais (MG),Technician / Specialist,Scientist,,Academic in the field of computational biology and related areas,,,4,6,7,3,6,5,6,"Epigenomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics",Intermediate
07/11/2023 18:10:12,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,Scientist,,Academic in the field of computational biology and related areas,,,1,7,7,2,4,2,2,"DNA and Genomics,  Artificial Intelligence and Data Science in Bioinformatics, Personalized Medicine","Basic, Intermediate"
07/11/2023 18:48:02,Yes,I am white,Woman / Female (Cisgender),Sergipe (SE),Posdoc,User,Professor,,,,7,7,7,7,7,7,7,"Epigenomics,  Structural Biology and Modeling",Basic
07/11/2023 19:18:05,Yes,I am brown-skinned,Man / Male (Cisgender),Ceará (CE),Professor / PI,User,Professor,,,,7,3,4,7,7,7,4,"Phylogeny and Evolution, Metagenomics and Microbiome, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Didactics and Communication in Bioinformatics",Intermediate
07/11/2023 22:02:52,Yes,I am white,Woman / Female (Cisgender),Rio de Janeiro (RJ),Master / Master Student,Scientist,,Academic in the field of computational biology and related areas,,,7,7,7,7,7,7,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, Proteins and Proteomics, Metabolomics and Systems Biology,  Structural Biology and Modeling","Basic, Intermediate"
08/11/2023 01:33:40,Yes,I am white,Woman / Female (Cisgender),Bahia (BA),Professor / PI,User,Professor,,,,7,3,7,7,7,7,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Intermediate
08/11/2023 01:41:35,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),Master / Master Student,Scientist,,Academic in the field of computational biology and related areas,,,4,7,7,4,3,7,7,"DNA and Genomics, Phylogeny and Evolution, RNA and Transcriptomics","Intermediate, Advanced"
08/11/2023 07:53:21,Yes,I am white,Woman / Female (Cisgender),Resido fora do Brasil,PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,2,7,7,7,2,2,7,"DNA and Genomics, RNA and Transcriptomics, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics, Personalized Medicine,Career Mentoring in Bioinformatics",Intermediate
